TOU_period,Average_Load,Station
Off-peak,360.8818801089918,A1
Peak,107.4188521798365,A1
Sharp,132.12959809264305,A1
Shoulder,287.89371253405994,A1
Off-peak,1008.3840769754768,A2
Peak,315.2823228882834,A2
Sharp,299.57769073569483,A2
Shoulder,625.8680926430518,A2
Off-peak,1554.3451720027247,A3
Peak,35.00221389645777,A3
Sharp,42.86488419618529,A3
Shoulder,117.85460490463215,A3
Off-peak,3540.45556880109,A4
Peak,44.73065395095368,A4
Sharp,82.63181198910081,A4
Shoulder,106.85905994550409,A4
Off-peak,15.336980585831062,A5
Peak,3.8565395095367845,A5
Sharp,6.314952316076295,A5
Shoulder,4.193269754768393,A5
Off-peak,34.961120572207086,A6
Peak,18.37809945504087,A6
Sharp,39.94764986376022,A6
Shoulder,16.777615803814715,A6
Off-peak,4.146569293478261,A7
Peak,2.3231997282608696,A7
Sharp,3.0879755434782608,A7
Shoulder,3.144157608695652,A7
Off-peak,0.054276315789473686,A8
Peak,0.353983918128655,A8
Sharp,0.28654970760233917,A8
Shoulder,0.35789473684210527,A8
Off-peak,612.3525715258855,A9
Peak,451.6920640326975,A9
Sharp,391.95987738419615,A9
Shoulder,589.407159400545,A9
Off-peak,355.06923324742263,A10
Peak,21.40889175257732,A10
Sharp,28.90541237113402,A10
Shoulder,102.49134020618557,A10
