TOU_period,mean,max,sum,Station
Off-peak,360.8818801089918,1688.9,4238196.8,A1
Peak,115.65576748410535,753.6,1018696.0,A1
Shoulder,287.89371253405994,1413.2,4226279.7,A1
Off-peak,1008.3840769754768,3020.3,11842462.6,A2
Peak,310.0474455040872,911.2,2730897.9,A2
Shoulder,625.8680926430518,2246.4,9187743.6,A2
Off-peak,1554.3451720027247,3418.8,18254229.7,A3
Peak,37.623103996366936,936.7,331384.3,A3
Shoulder,117.85460490463215,2506.4,1730105.6,A3
Off-peak,3540.45556880109,8896.8,41579110.2,A4
Peak,57.36437329700273,7727.2,505265.4,A4
Shoulder,106.85905994550409,8126.9,1568691.0,A4
Off-peak,15.336980585831062,61.6,180117.5,A5
Peak,4.676010445049955,39.6,41186.3,A5
Shoulder,4.193269754768393,45.3,61557.2,A5
Off-peak,34.961120572207086,103.8,410583.4,A6
Peak,25.567949591280655,97.1,225202.5,A6
Shoulder,16.777615803814715,79.6,246295.4,A6
Off-peak,612.3525715258855,1099.2,7191468.6,A9
Peak,431.78133514986376,1041.9,3803130.0,A9
Shoulder,589.407159400545,1084.3,8652497.1,A9
Off-peak,355.06923324742263,1310.7,1102134.9,A10
Peak,23.907731958762884,210.7,55657.2,A10
Shoulder,102.49134020618557,515.3,397666.4,A10
