00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,Station,Date
184.4,115.4,275.2,238.7,313.8,320.6,359.3,373.1,331.7,299.4,317.0,472.2,426.2,341.9,502.6,425.3,391.8,386.2,465.0,650.8,629.4,704.1,619.9,444.5,418.7,484.6,419.2,465.3,420.3,282.3,241.0,143.9,159.2,160.5,166.9,84.5,130.5,119.5,80.4,107.5,191.2,108.3,178.1,90.1,101.4,199.2,245.6,309.3,229.6,295.9,296.8,318.9,325.7,430.0,430.4,404.0,232.4,381.4,389.6,504.0,467.2,509.4,636.2,614.6,388.1,503.7,656.9,629.3,402.2,284.0,401.8,421.8,377.1,369.0,169.2,222.6,166.8,100.2,80.9,100.6,155.0,131.1,70.6,39.2,176.5,318.0,329.1,412.5,539.6,740.4,641.0,888.4,725.0,590.7,467.8,258.3,A1,2024-01-01
692.9,595.9,757.2,695.0,631.7,795.2,733.2,507.5,456.7,458.0,354.9,353.0,246.3,251.3,227.3,204.4,130.9,110.5,82.8,82.8,151.9,179.0,167.5,208.4,238.2,183.0,78.3,50.1,189.9,218.4,203.2,183.3,140.3,183.8,183.0,93.6,154.7,130.2,65.7,24.2,101.4,84.5,152.6,158.2,277.1,248.2,315.1,385.8,359.0,367.2,515.5,422.3,382.4,362.9,313.4,288.7,287.8,312.7,197.2,134.0,149.5,292.2,476.0,571.1,489.9,428.9,318.1,401.5,315.8,368.3,259.6,302.0,271.5,204.6,112.4,69.5,60.8,89.7,58.8,148.1,254.9,265.7,357.9,227.7,413.4,399.7,490.4,584.2,933.6,830.0,924.8,881.0,625.5,787.8,1096.3,621.9,A1,2024-01-02
907.0,874.2,693.3,644.0,610.9,611.9,627.0,475.0,533.8,433.2,485.0,379.2,316.0,370.0,334.6,306.5,281.9,212.6,164.8,176.8,249.0,301.0,303.9,267.1,224.8,211.3,181.9,183.4,143.2,119.5,265.7,190.8,140.9,113.2,88.1,90.9,45.8,63.0,51.0,18.7,69.6,128.9,145.2,200.4,320.6,390.2,742.5,645.1,637.5,553.0,473.1,400.9,218.0,240.8,300.1,486.2,482.3,506.4,581.6,650.0,745.4,699.6,573.9,624.1,760.0,660.5,521.5,425.4,427.6,331.0,391.5,248.4,137.1,109.9,70.9,65.8,137.9,57.0,20.1,84.6,70.9,58.2,51.6,96.4,407.4,344.2,392.8,547.1,926.4,1152.1,1193.6,1208.0,825.5,756.1,792.5,436.8,A1,2024-01-03
836.6,741.4,805.7,762.6,564.0,499.5,550.5,399.4,237.9,194.5,99.4,114.7,65.6,86.8,58.4,111.9,179.3,266.1,256.8,293.1,317.6,357.9,455.6,384.0,298.4,366.3,219.9,96.1,154.2,244.8,210.4,118.0,107.8,76.0,44.4,68.8,94.4,86.8,59.6,80.1,130.6,305.5,353.7,293.3,191.7,184.5,217.7,204.6,260.3,423.0,519.3,402.1,406.9,275.4,411.9,375.2,319.7,373.5,448.0,507.5,541.6,460.1,449.4,663.8,652.0,625.2,549.9,336.4,352.6,256.9,193.3,117.2,110.6,212.0,148.3,165.1,199.7,119.9,124.5,71.6,157.9,105.4,99.3,197.3,151.5,209.7,294.9,353.0,701.8,987.4,1090.5,1045.7,1006.6,900.9,807.0,418.3,A1,2024-01-04
940.8,955.0,868.1,768.3,613.3,477.9,506.8,513.9,375.8,411.5,380.8,352.7,325.7,340.1,251.9,244.4,273.6,238.5,279.1,296.7,357.7,472.9,481.2,387.5,337.3,245.1,164.2,78.2,116.6,141.1,157.4,142.1,56.3,32.3,39.3,63.1,66.9,55.3,53.1,86.4,127.5,75.4,166.2,196.3,492.8,467.6,467.2,440.8,634.4,731.8,769.2,643.3,644.7,332.2,565.6,535.9,553.2,531.0,429.1,711.0,584.3,346.9,445.0,513.6,358.6,461.1,614.9,682.4,557.9,316.9,142.7,177.0,148.8,37.2,160.2,110.2,27.0,134.1,94.1,169.2,123.5,48.9,131.8,250.3,605.7,601.5,485.7,401.8,838.1,1129.9,989.1,582.8,787.7,836.1,970.0,591.8,A1,2024-01-05
1227.0,986.7,715.4,460.0,509.3,389.2,271.1,293.7,397.2,507.2,585.8,511.2,439.3,385.0,467.8,492.2,372.5,406.4,437.3,390.6,344.4,441.0,534.3,471.4,441.0,329.0,262.9,218.7,166.5,165.6,195.7,142.1,83.9,114.3,114.3,109.7,51.8,102.5,95.9,138.7,97.4,122.0,105.4,205.5,365.9,384.2,334.5,357.6,317.9,346.4,421.1,526.8,409.7,425.6,480.2,429.0,350.9,288.9,306.0,305.6,272.6,321.8,382.9,445.5,527.7,498.0,466.8,487.9,517.3,403.7,381.8,167.7,191.2,74.9,67.6,30.4,7.7,202.1,60.3,50.0,18.9,21.9,36.2,127.2,370.4,532.8,568.6,485.0,802.9,822.8,808.9,781.3,622.3,663.2,694.7,518.5,A1,2024-01-06
890.9,900.2,842.9,772.3,720.6,520.5,326.1,386.5,400.0,285.1,323.0,456.3,378.2,409.2,498.2,531.4,506.3,427.9,349.7,184.4,131.8,318.3,361.9,401.3,413.4,380.9,304.5,198.5,210.6,254.1,199.8,150.2,95.4,45.9,47.1,63.8,108.7,118.9,141.3,95.0,55.2,116.6,164.3,134.3,169.9,173.7,453.6,478.2,470.0,392.7,346.3,454.8,523.4,409.6,320.4,256.9,304.3,375.3,474.2,447.6,477.0,505.8,585.8,667.9,696.1,660.9,627.3,681.8,555.5,556.0,460.6,358.8,279.1,220.5,129.5,132.7,215.6,109.8,112.9,84.8,81.3,63.4,31.9,54.3,277.8,427.1,632.5,791.6,1044.5,1037.9,950.8,905.6,817.6,771.1,657.1,300.7,A1,2024-01-07
687.2,686.4,715.4,654.1,800.1,867.1,659.3,615.4,486.7,344.4,310.3,251.2,173.0,156.8,97.8,148.9,115.2,216.5,236.5,165.1,144.4,162.8,282.5,355.8,446.9,311.4,127.3,132.9,207.7,171.7,169.2,222.2,122.9,62.9,66.7,60.8,90.6,31.1,67.8,71.3,86.7,200.7,260.7,367.8,693.9,782.2,708.9,688.5,523.5,609.9,612.0,596.3,463.7,469.1,374.2,330.1,411.7,451.8,512.2,472.1,613.7,564.5,544.4,570.4,637.7,533.1,419.0,398.7,398.8,401.1,420.8,354.6,261.7,195.5,101.2,48.3,66.1,44.6,69.3,137.1,195.7,203.5,200.4,137.5,472.2,454.4,462.5,403.4,992.2,1172.7,1103.1,1020.3,839.8,801.5,801.9,435.2,A1,2024-01-08
1054.4,919.5,883.7,907.2,828.1,779.5,523.0,282.3,435.1,482.0,458.2,275.4,142.1,142.9,73.7,71.4,97.5,128.6,217.6,301.9,356.3,381.9,401.8,374.9,347.7,252.0,116.4,39.4,82.2,102.4,196.1,126.4,92.8,41.3,82.3,101.1,76.8,11.3,0.0,0.0,0.0,0.0,160.3,225.2,211.0,334.4,402.1,404.5,484.9,592.4,688.5,563.9,493.8,659.2,553.5,523.1,447.9,414.1,380.1,592.3,644.9,745.1,876.9,733.9,669.1,441.2,589.5,503.0,399.6,249.8,336.7,237.8,259.5,232.0,214.5,166.4,60.0,111.9,103.9,103.8,68.7,99.1,86.7,191.9,382.7,460.9,451.7,532.6,851.0,975.7,1127.1,975.0,928.0,734.6,551.5,309.7,A1,2024-01-09
664.3,564.4,500.7,449.3,245.2,327.1,417.0,341.5,362.0,285.3,295.0,252.9,311.9,335.1,325.4,268.5,256.6,202.2,272.7,274.3,272.7,228.9,230.3,301.8,322.1,388.7,290.6,195.9,115.8,106.7,68.6,104.5,91.2,68.7,38.3,157.1,205.0,164.2,89.1,42.2,161.1,185.9,232.7,300.5,407.4,420.1,478.3,570.0,582.4,421.8,442.3,331.7,309.8,234.2,292.9,400.9,349.5,430.6,541.9,466.1,487.9,456.2,531.8,485.2,544.5,578.9,555.0,585.6,484.9,422.9,475.2,379.8,262.2,249.4,217.3,157.2,100.9,144.2,109.9,139.8,88.7,119.9,80.4,29.2,343.8,450.9,416.3,559.9,1091.7,1065.3,1017.2,1074.5,879.9,592.5,624.9,405.5,A1,2024-01-10
