Station,Metric_Type,Peak,Valley,Peak_Valley_Difference,Average,Load_Factor,Cluster
A1,Power(kW),1688.9,0.0,1688.9,269.16361546321525,0.1593721448654244,1
A2,Power(kW),3020.3,0.0,3020.3,674.418258969119,0.2232951226597089,2
A3,Power(kW),3418.8,0.0,3418.8,576.6269187102635,0.1686635423862944,2
A4,Power(kW),8896.8,0.0,8896.8,1239.0175579019074,0.1392655289432051,0
A5,Power(kW),61.6,0.0,61.6,8.028525204359672,0.1303332013694752,1
A6,Power(kW),103.8,0.0,103.8,25.03636750681199,0.2411981455376877,1
A7,Session Count,256.0,0.0,256.0,3.336786684782609,0.013034322987432,1
A8,Session Count,3.0,0.0,3.0,0.2500913742690058,0.0833637914230019,1
A9,Power(kW),1099.2,0.0,1099.2,557.6491740463215,0.5073227565923594,3
A10,Power(kW),1310.7,0.0,1310.7,167.0380691580756,0.1274418777432483,1
