datetime,A1,A2,A3,A4,A5,A6,A9,A10,Total_Load_kW,Active_Stations
2024-01-01 00:00:00,184.4,495.2,424.3,2447.8,0.0,0.0,294.4,0.0,3846.1000000000004,5
2024-01-01 00:15:00,115.4,960.9,778.5,3644.2,0.0,0.0,432.7,0.0,5931.7,5
2024-01-01 00:30:00,275.2,1213.5,932.2,4355.9,0.0,0.0,720.1,0.0,7496.9,5
2024-01-01 00:45:00,238.7,1318.4,1214.3,5296.1,0.0,0.0,888.5,0.0,8956.0,5
2024-01-01 01:00:00,313.8,1303.7,1721.4,5291.6,0.0,1.0,854.6,0.0,9486.1,6
2024-01-01 01:15:00,320.6,1081.5,1772.6,5294.5,0.0,1.0,940.5,0.0,9410.7,6
2024-01-01 01:30:00,359.3,1261.2,1866.6,5223.8,0.0,8.2,884.0,0.0,9603.1,6
2024-01-01 01:45:00,373.1,1067.1,1814.2,4879.0,0.0,8.2,803.2,0.0,8944.8,6
2024-01-01 02:00:00,331.7,1192.9,2426.8,4297.0,0.0,8.2,891.3,0.0,9147.900000000001,6
2024-01-01 02:15:00,299.4,1040.7,2677.7,3590.0,0.0,8.2,668.8,0.0,8284.8,6
2024-01-01 02:30:00,317.0,968.1,2650.6,2724.8,0.0,8.2,869.9,0.0,7538.599999999999,6
2024-01-01 02:45:00,472.2,814.1,2683.7,2152.0,0.0,8.2,942.3,0.0,7072.5,6
2024-01-01 03:00:00,426.2,750.3,2618.8,1303.3,0.0,8.2,850.2,0.0,5957.0,6
2024-01-01 03:15:00,341.9,590.2,2561.3,547.7,0.0,8.2,843.2,0.0,4892.5,6
2024-01-01 03:30:00,502.6,449.0,2655.0,341.7,0.0,8.2,848.8,0.0,4805.299999999999,6
2024-01-01 03:45:00,425.3,581.1,2479.9,226.8,0.0,7.9,983.1,0.0,4704.1,6
2024-01-01 04:00:00,391.8,749.2,2239.2,220.5,0.0,7.1,913.3,0.0,4521.099999999999,6
2024-01-01 04:15:00,386.2,724.7,1952.0,154.9,0.0,7.1,757.5,0.0,3982.4,6
2024-01-01 04:30:00,465.0,742.6,1473.2,59.2,0.0,7.1,817.2,0.0,3564.3,6
2024-01-01 04:45:00,650.8,703.3,852.6,0.0,0.0,7.1,824.1,0.0,3037.8999999999996,5
2024-01-01 05:00:00,629.4,711.3,368.4,0.0,0.0,0.9,803.7,0.0,2513.7,5
2024-01-01 05:15:00,704.1,733.9,265.5,0.0,0.0,0.0,930.7,0.0,2634.2,4
2024-01-01 05:30:00,619.9,840.6,118.1,0.0,0.0,0.0,634.8,0.0,2213.3999999999996,4
2024-01-01 05:45:00,444.5,841.4,23.7,0.0,0.0,0.0,838.7,0.0,2148.3,4
2024-01-01 06:00:00,418.7,757.1,2.0,0.0,0.0,0.0,713.8,0.0,1891.6,4
2024-01-01 06:15:00,484.6,954.9,0.0,0.0,0.0,0.0,541.9,0.0,1981.4,3
2024-01-01 06:30:00,419.2,1050.1,0.0,0.0,0.0,0.0,294.2,0.0,1763.5,3
2024-01-01 06:45:00,465.3,1058.8,0.0,0.0,0.0,0.0,494.3,0.0,2018.3999999999999,3
2024-01-01 07:00:00,420.3,1073.5,0.0,0.0,0.0,0.0,451.2,0.0,1945.0,3
2024-01-01 07:15:00,282.3,968.5,0.0,0.0,0.0,0.0,391.8,0.0,1642.6,3
2024-01-01 07:30:00,241.0,891.3,0.0,0.0,0.0,0.0,373.0,0.0,1505.3,3
2024-01-01 07:45:00,143.9,769.5,0.0,0.0,0.0,0.0,444.2,0.0,1357.6,3
2024-01-01 08:00:00,159.2,545.1,0.0,0.0,0.0,0.0,445.2,0.0,1149.5,3
2024-01-01 08:15:00,160.5,551.7,0.0,0.0,0.0,0.0,470.0,0.0,1182.2,3
2024-01-01 08:30:00,166.9,419.6,0.0,0.0,0.0,0.0,574.2,0.0,1160.7,3
2024-01-01 08:45:00,84.5,451.3,0.0,0.0,0.0,0.0,581.7,0.0,1117.5,3
2024-01-01 09:00:00,130.5,480.8,0.0,0.0,0.0,0.0,618.5,0.0,1229.8,3
2024-01-01 09:15:00,119.5,478.0,0.0,0.0,0.0,3.4,656.5,0.0,1257.4,4
2024-01-01 09:30:00,80.4,380.0,0.0,0.0,0.0,3.4,586.3,0.0,1050.1,4
2024-01-01 09:45:00,107.5,402.8,0.0,0.0,0.0,3.4,505.2,0.0,1018.9000000000001,4
2024-01-01 10:00:00,191.2,406.1,0.0,217.1,0.0,5.3,371.8,0.0,1191.5,5
2024-01-01 10:15:00,108.3,369.1,0.0,290.7,7.0,5.3,345.3,0.0,1125.7,6
2024-01-01 10:30:00,178.1,435.3,0.0,290.7,26.7,5.3,568.5,0.0,1504.6,6
2024-01-01 10:45:00,90.1,326.8,0.0,290.7,26.7,5.3,574.8,0.0,1314.3999999999999,6
2024-01-01 11:00:00,101.4,711.9,23.5,290.7,17.7,5.3,418.4,0.0,1568.9,7
2024-01-01 11:15:00,199.2,915.6,65.9,290.7,7.0,8.4,493.2,0.0,1980.0000000000002,7
2024-01-01 11:30:00,245.6,1206.4,65.9,215.9,7.0,11.8,509.6,0.0,2262.2000000000003,7
2024-01-01 11:45:00,309.3,1234.5,202.2,63.9,7.0,11.8,778.5,0.0,2607.2,7
2024-01-01 12:00:00,229.6,888.3,202.2,0.0,7.0,9.5,623.8,0.0,1960.3999999999999,6
2024-01-01 12:15:00,295.9,801.4,187.7,217.8,12.7,8.7,774.1,0.0,2298.3,7
2024-01-01 12:30:00,296.8,907.8,182.2,217.8,12.7,8.7,774.1,0.0,2400.1,7
2024-01-01 12:45:00,318.9,809.8,174.5,217.8,12.7,6.1,1000.6,0.0,2540.3999999999996,7
2024-01-01 13:00:00,325.7,883.3,223.2,217.8,19.7,5.3,803.7,0.0,2478.7,7
2024-01-01 13:15:00,430.0,887.7,192.2,44.2,19.7,12.2,733.0,0.0,2319.0,7
2024-01-01 13:30:00,430.4,1067.3,192.2,0.0,19.7,12.2,728.6,0.0,2450.4,6
2024-01-01 13:45:00,404.0,1127.6,494.9,0.0,19.7,12.2,792.5,0.0,2850.9,6
2024-01-01 14:00:00,232.4,1173.5,693.9,0.0,19.7,8.5,582.7,0.0,2710.7,6
2024-01-01 14:15:00,381.4,884.6,564.9,0.0,26.8,8.9,603.2,0.0,2469.8,6
2024-01-01 14:30:00,389.6,1075.5,544.9,0.0,26.8,8.9,766.9,0.0,2812.6,6
2024-01-01 14:45:00,504.0,1218.5,344.2,0.0,26.8,8.9,910.0,0.0,3012.4,6
2024-01-01 15:00:00,467.2,1202.0,166.1,0.0,26.8,15.5,790.7,0.0,2668.3,6
2024-01-01 15:15:00,509.4,1122.7,120.1,0.0,26.8,15.5,766.9,0.0,2561.3999999999996,6
2024-01-01 15:30:00,636.2,1149.2,131.7,0.0,25.4,15.5,596.8,0.0,2554.8,6
2024-01-01 15:45:00,614.6,1159.7,95.0,0.0,19.8,21.7,470.1,0.0,2380.9,6
2024-01-01 16:00:00,388.1,865.6,55.1,0.0,19.8,33.6,691.6,0.0,2053.7999999999997,6
2024-01-01 16:15:00,503.7,780.1,20.7,0.0,19.8,33.6,890.3,0.0,2248.2,6
2024-01-01 16:30:00,656.9,835.4,36.9,0.0,19.8,41.9,887.8,0.0,2478.7,6
2024-01-01 16:45:00,629.3,620.4,32.7,0.0,14.2,54.1,722.7,0.0,2073.3999999999996,6
