Station,Metric_Type,Peak,Valley,Peak_Valley_Difference,Average,Load_Factor,Station_Type
A1,Power(kW),1688.9,0.0,1688.9,269.16361546321525,0.1593721448654244,Taxi Demonstration Station
A2,Power(kW),3020.3,0.0,3020.3,674.418258969119,0.22329512265970897,Taxi Demonstration Station
A3,Power(kW),3418.8,0.0,3418.8,576.6269187102635,0.16866354238629444,Bus Depot
A4,Power(kW),8896.8,0.0,8896.8,1239.0175579019074,0.13926552894320512,Bus Depot
A5,Power(kW),61.6,0.0,61.6,8.028525204359672,0.1303332013694752,Residential Charging Station
A6,Power(kW),103.8,0.0,103.8,25.03636750681199,0.24119814553768779,Residential Charging Station
A7,Session Count,256.0,0.0,256.0,3.336786684782609,0.013034322987432066,Battery Swapping Station
A8,Session Count,3.0,0.0,3.0,0.25009137426900585,0.08336379142300195,Battery Swapping Station
A9,Power(kW),1099.2,0.0,1099.2,557.6491740463215,0.5073227565923594,Heavy-Duty Truck Logistics Station
A10,Power(kW),1310.7,0.0,1310.7,167.03806915807561,0.12744187774324836,Heavy-Duty Truck Logistics Station
